siteverkey_cat2,num_previous_months_binned,months,chosen_subs_length,subscription_summary_no_market,is_in_training
MUT,2,24,24,ssc-MUT_ac-2_m-24_ccsl-24,FALSE
MUT,2,24,3,ssc-MUT_ac-2_m-24_ccsl-3,FALSE
MUT,2,24,gen,ssc-MUT_ac-2_m-24_ccsl-gen,FALSE
MUT,3,1,1,ssc-MUT_ac-3_m-1_ccsl-1,FALSE
MUT,3,1,-1,ssc-MUT_ac-3_m-1_ccsl--1,FALSE
MUT,3,1,12,ssc-MUT_ac-3_m-1_ccsl-12,FALSE
MUT,3,1,24,ssc-MUT_ac-3_m-1_ccsl-24,FALSE
MUT,3,1,3,ssc-MUT_ac-3_m-1_ccsl-3,FALSE
MUT,3,1,gen,ssc-MUT_ac-3_m-1_ccsl-gen,FALSE
MUT,3,3,1,ssc-MUT_ac-3_m-3_ccsl-1,FALSE
MUT,3,3,-1,ssc-MUT_ac-3_m-3_ccsl--1,FALSE
MUT,3,3,12,ssc-MUT_ac-3_m-3_ccsl-12,FALSE
MUT,3,3,24,ssc-MUT_ac-3_m-3_ccsl-24,FALSE
MUT,3,3,3,ssc-MUT_ac-3_m-3_ccsl-3,FALSE
MUT,3,3,gen,ssc-MUT_ac-3_m-3_ccsl-gen,FALSE
MUT,3,12,1,ssc-MUT_ac-3_m-12_ccsl-1,FALSE
MUT,3,12,-1,ssc-MUT_ac-3_m-12_ccsl--1,FALSE
MUT,3,12,12,ssc-MUT_ac-3_m-12_ccsl-12,FALSE
MUT,3,12,24,ssc-MUT_ac-3_m-12_ccsl-24,FALSE
MUT,3,12,3,ssc-MUT_ac-3_m-12_ccsl-3,FALSE
MUT,3,12,gen,ssc-MUT_ac-3_m-12_ccsl-gen,FALSE
MUT,3,24,1,ssc-MUT_ac-3_m-24_ccsl-1,FALSE
MUT,3,24,-1,ssc-MUT_ac-3_m-24_ccsl--1,FALSE
MUT,3,24,12,ssc-MUT_ac-3_m-24_ccsl-12,FALSE
MUT,3,24,24,ssc-MUT_ac-3_m-24_ccsl-24,FALSE
MUT,3,24,3,ssc-MUT_ac-3_m-24_ccsl-3,FALSE
MUT,3,24,gen,ssc-MUT_ac-3_m-24_ccsl-gen,FALSE
MUT,5,1,1,ssc-MUT_ac-5_m-1_ccsl-1,FALSE
MUT,5,1,-1,ssc-MUT_ac-5_m-1_ccsl--1,FALSE
MUT,5,1,12,ssc-MUT_ac-5_m-1_ccsl-12,FALSE
MUT,5,1,24,ssc-MUT_ac-5_m-1_ccsl-24,FALSE
MUT,5,1,3,ssc-MUT_ac-5_m-1_ccsl-3,FALSE
MUT,5,1,gen,ssc-MUT_ac-5_m-1_ccsl-gen,FALSE
MUT,5,3,1,ssc-MUT_ac-5_m-3_ccsl-1,FALSE
MUT,5,3,-1,ssc-MUT_ac-5_m-3_ccsl--1,FALSE
MUT,5,3,12,ssc-MUT_ac-5_m-3_ccsl-12,FALSE
MUT,5,3,24,ssc-MUT_ac-5_m-3_ccsl-24,FALSE
MUT,5,3,3,ssc-MUT_ac-5_m-3_ccsl-3,FALSE
MUT,5,3,gen,ssc-MUT_ac-5_m-3_ccsl-gen,FALSE
MUT,5,12,1,ssc-MUT_ac-5_m-12_ccsl-1,FALSE
MUT,5,12,-1,ssc-MUT_ac-5_m-12_ccsl--1,FALSE
MUT,5,12,12,ssc-MUT_ac-5_m-12_ccsl-12,FALSE
MUT,5,12,24,ssc-MUT_ac-5_m-12_ccsl-24,FALSE
MUT,5,12,3,ssc-MUT_ac-5_m-12_ccsl-3,FALSE
MUT,5,12,gen,ssc-MUT_ac-5_m-12_ccsl-gen,FALSE
MUT,5,24,1,ssc-MUT_ac-5_m-24_ccsl-1,FALSE
MUT,5,24,-1,ssc-MUT_ac-5_m-24_ccsl--1,FALSE
MUT,5,24,12,ssc-MUT_ac-5_m-24_ccsl-12,FALSE
MUT,5,24,24,ssc-MUT_ac-5_m-24_ccsl-24,FALSE
MUT,5,24,3,ssc-MUT_ac-5_m-24_ccsl-3,FALSE
MUT,5,24,gen,ssc-MUT_ac-5_m-24_ccsl-gen,FALSE
MUT,8,1,1,ssc-MUT_ac-8_m-1_ccsl-1,FALSE
MUT,8,1,-1,ssc-MUT_ac-8_m-1_ccsl--1,FALSE
MUT,8,1,12,ssc-MUT_ac-8_m-1_ccsl-12,FALSE
MUT,8,1,24,ssc-MUT_ac-8_m-1_ccsl-24,FALSE
MUT,8,1,3,ssc-MUT_ac-8_m-1_ccsl-3,FALSE
MUT,8,1,gen,ssc-MUT_ac-8_m-1_ccsl-gen,TRUE
MUT,8,3,1,ssc-MUT_ac-8_m-3_ccsl-1,FALSE
MUT,8,3,-1,ssc-MUT_ac-8_m-3_ccsl--1,FALSE
MUT,8,3,12,ssc-MUT_ac-8_m-3_ccsl-12,FALSE
MUT,8,3,24,ssc-MUT_ac-8_m-3_ccsl-24,FALSE
MUT,8,3,3,ssc-MUT_ac-8_m-3_ccsl-3,FALSE
MUT,8,3,gen,ssc-MUT_ac-8_m-3_ccsl-gen,TRUE
MUT,8,12,1,ssc-MUT_ac-8_m-12_ccsl-1,FALSE
MUT,8,12,-1,ssc-MUT_ac-8_m-12_ccsl--1,FALSE
MUT,8,12,12,ssc-MUT_ac-8_m-12_ccsl-12,FALSE
MUT,8,12,24,ssc-MUT_ac-8_m-12_ccsl-24,FALSE
MUT,8,12,3,ssc-MUT_ac-8_m-12_ccsl-3,FALSE
MUT,8,12,gen,ssc-MUT_ac-8_m-12_ccsl-gen,TRUE
MUT,8,24,1,ssc-MUT_ac-8_m-24_ccsl-1,FALSE
MUT,8,24,-1,ssc-MUT_ac-8_m-24_ccsl--1,FALSE
MUT,8,24,12,ssc-MUT_ac-8_m-24_ccsl-12,FALSE
MUT,8,24,24,ssc-MUT_ac-8_m-24_ccsl-24,FALSE
MUT,8,24,3,ssc-MUT_ac-8_m-24_ccsl-3,FALSE
MUT,8,24,gen,ssc-MUT_ac-8_m-24_ccsl-gen,FALSE
MUT,11,1,1,ssc-MUT_ac-11_m-1_ccsl-1,FALSE
MUT,11,1,-1,ssc-MUT_ac-11_m-1_ccsl--1,FALSE
MUT,11,1,12,ssc-MUT_ac-11_m-1_ccsl-12,FALSE
